date,EE_RSTAK_NAM,EE_RSTAL_NAM,EE_RSTAR_NAM,EE_RSTAZ_NAM,EE_RSTCA_NAM,EE_RSTCO_NAM,EE_RSTCT_NAM,EE_RSTDC_NAM,EE_RSTDE_NAM,EE_RSTFL_NAM,EE_RSTGA_NAM,EE_RSTHI_NAM,EE_RSTIA_NAM,EE_RSTID_NAM,EE_RSTIL_NAM,EE_RSTIN_NAM,EE_RSTKS_NAM,EE_RSTKY_NAM,EE_RSTLA_NAM,EE_RSTMA_NAM,EE_RSTMD_NAM,EE_RSTME_NAM,EE_RSTMI_NAM,EE_RSTMN_NAM,EE_RSTMO_NAM,EE_RSTMS_NAM,EE_RSTMT_NAM,EE_RSTNC_NAM,EE_RSTND_NAM,EE_RSTNE_NAM,EE_RSTNH_NAM,EE_RSTNJ_NAM,EE_RSTNM_NAM,EE_RSTNV_NAM,EE_RSTNY_NAM,EE_RSTOH_NAM,EE_RSTOK_NAM,EE_RSTOR_NAM,EE_RSTPA_NAM,EE_RSTRI_NAM,EE_RSTSC_NAM,EE_RSTSD_NAM,EE_RSTTN_NAM,EE_RSTTX_NAM,EE_RSTUT_NAM,EE_RSTVA_NAM,EE_RSTVT_NAM,EE_RSTWA_NAM,EE_RSTWI_NAM,EE_RSTWV_NAM,EE_RSTWY_NAM
1963,54.19286716,820.2562171,406.8987995,367.6876138,5324.301803,545.9625524,974.2091086,531.3927622,165.685692,1499.882125,1150.430197,200.3697193,702.3100392,157.9357664,3669.701295,1512.024447,578.4024517,695.771585,829.557458,1929.662977,977.2289566,274.6053727,2462.480642,987.4489896,1393.294051,439.7753663,162.5843891,1308.373906,128.6977204,393.3941013,202.8227892,2113.699807,241.3343016,125.4607357,6316.438043,3212.318509,603.5676345,537.0299059,3776.624867,297.5755471,632.4454348,144.3264068,1005.870032,2723.434623,276.6530666,1106.604891,111.0582224,850.9597383,1227.678419,458.2314877,86.12217751
1964,57.60804307,842.8082113,423.6740145,387.275806,5522.280683,566.9044442,998.4339853,539.7971702,171.3916871,1579.020338,1195.406436,209.7309355,721.6083588,162.8304511,3743.949426,1553.623587,589.1407364,718.8035259,852.8054657,1959.490567,1013.76479,279.7142555,2528.285662,1018.92835,1422.619146,457.3269406,165.6156428,1362.922092,132.1674588,402.9137886,208.3314783,2165.507152,247.5520325,134.0953717,6401.543208,3274.534818,618.8576487,556.8340296,3827.183088,302.5906451,655.6327326,147.5974351,1043.033305,2814.037741,285.8179587,1149.196886,114.4990548,875.6365343,1259.228436,461.5040472,87.25638688
1965,61.31714144,867.2330056,441.3542447,408.3385495,5726.427075,590.0673965,1024.249065,547.7345922,177.6246133,1664.875811,1244.467455,219.7274593,743.1001583,168.394713,3825.519296,1598.83501,601.5111488,744.6468319,879.0851061,1992.067423,1053.95068,285.4911474,2601.837931,1053.840516,1455.040787,476.297097,169.1295935,1421.729196,135.9542142,413.4183963,214.3833326,2220.632008,254.0492569,142.983643,6491.61204,3347.446987,636.2490168,578.3324607,3888.124808,308.2163269,681.1723118,151.0954738,1083.770756,2915.694206,295.533804,1195.801982,118.4083041,903.0967668,1293.809042,466.6988734,88.72441881
1966,65.4108434,893.10736,459.6686849,431.3205683,5935.415682,615.8567696,1050.81438,554.7286214,184.1871292,1757.658904,1296.808034,230.4142621,766.3008672,174.6913842,3910.931128,1645.92567,615.441631,772.790299,907.9358549,2026.523753,1097.134118,291.7615137,2679.326132,1091.632785,1489.45432,496.4988231,173.1578619,1483.733368,140.0638012,424.8757917,220.9231089,2277.923188,261.0157348,152.1634344,6582.777071,3428.148302,655.7090522,601.150259,3956.247228,314.1812562,708.7484073,154.8787271,1127.228222,3028.214481,305.9331172,1246.018796,122.679079,932.7885333,1330.591317,473.4999961,90.64753132
1967,69.9866587,919.9827045,478.2989876,456.5452006,6147.280942,644.4842499,1077.10547,560.429505,190.865647,1857.264219,1351.415278,241.767041,790.528913,181.7673497,3995.971951,1692.949172,630.735014,802.5812544,938.8243373,2061.624093,1142.334089,298.3039081,2756.840568,1131.420051,1524.474681,517.6571356,177.7157726,1547.55647,144.5174926,437.1716581,227.8477306,2335.894185,268.6367338,161.7537943,6669.985712,3512.894576,677.0595784,624.9831594,4027.702303,320.1999337,737.9235306,158.9854445,1172.362832,3150.976088,317.093075,1299.304926,127.1604056,963.7069638,1368.590245,481.5204567,93.14873826
1968,75.13798863,947.6273955,497.0931183,484.3045793,6360.577132,676.0909559,1102.275734,564.7102041,197.4897079,1963.386767,1407.361209,253.7213503,815.1967147,189.6865807,4077.034485,1738.376864,647.2067121,833.3861228,971.3998194,2096.31574,1188.533236,304.9372691,2831.53028,1172.306879,1558.943264,539.5750628,182.8160716,1611.904027,149.350923,450.1659208,235.0758902,2393.17226,277.1293639,171.9161369,6748.322604,3598.088141,700.1833283,649.6793946,4098.922515,326.0410473,768.3677092,163.4390879,1218.341433,3283.276401,329.0905229,1355.13878,131.7265188,994.906303,1406.993901,490.4522966,96.33557818
1969,80.94636791,975.9969624,516.0310527,514.7563849,6574.735722,710.7091638,1125.811514,567.7423845,203.9021965,2075.46092,1463.938699,266.1300739,839.9634021,198.4923748,4151.949728,1781.334601,664.7857897,864.7345159,1005.751324,2129.939751,1234.748863,311.5464963,2901.534904,1213.620633,1592.182716,562.1520619,188.4793473,1675.746002,154.6085522,463.7387888,242.5868028,2448.658731,286.7023679,182.7803384,6813.603532,3680.606381,725.0694388,675.1413654,4167.080324,331.5762857,799.8447353,168.2502652,1264.578245,3424.920035,342.0393756,1412.971721,136.3040497,1025.864726,1445.303455,500.1013525,100.3001022
1970,87.46395136,1005.147661,535.1318353,547.7862523,6790.499408,748.2662401,1147.566394,569.8566102,209.9471002,2192.51818,1520.538008,278.7618825,864.6931379,208.183164,4219.779335,1821.302471,683.5552441,896.2711846,1042.257877,2162.276024,1280.019938,318.1051164,2965.952773,1254.914608,1623.904251,585.2918394,194.7180272,1738.326315,160.3533307,477.7718116,250.4449246,2501.547195,297.4821948,194.4461135,6863.167052,3758.088801,751.7402139,701.3076788,4230.151962,336.7959271,832.0997242,173.4141931,1310.591072,3576.144843,355.9816428,1472.191719,140.8583641,1056.811344,1483.195139,510.3459382,105.1250058
1971,94.70143014,1035.168776,554.4872001,583.1582527,7010.593532,788.5444598,1167.886846,571.4120213,215.5093846,2313.598441,1576.894006,291.3661456,889.4044509,218.7014564,4281.133462,1858.402215,703.7182146,927.7855343,1081.332988,2193.726062,1323.509945,324.6721913,3025.223872,1296.138895,1654.309256,608.8895809,201.5237456,1799.351428,166.6191236,492.126151,258.7938438,2551.607662,309.5242702,206.9933737,6896.957687,3829.499841,780.2492628,728.2555281,4287.464861,341.7624867,864.9213435,178.8935857,1356.093936,3738.210475,370.9219402,1532.112031,145.4007874,1088.759622,1520.71915,521.0703539,110.8749831
1972,102.6538559,1066.089117,574.0995626,620.6165944,7239.334439,831.1694355,1187.608674,572.7651916,220.5255443,2437.696414,1632.999187,303.7816141,914.1469383,229.8989284,4337.673473,1893.02355,725.479288,959.0092588,1123.232592,2225.405606,1364.914166,331.3697317,3080.284657,1337.667436,1683.970076,632.7305539,208.8129562,1858.87854,173.4042624,506.6482504,267.8006993,2599.327669,322.7891974,220.5255692,6917.852289,3895.129053,810.6857929,756.0070298,4339.466932,346.5985206,898.1212639,184.6290153,1400.813949,3912.590133,386.8190671,1592.245995,150.0010613,1122.995912,1558.242735,532.1204407,117.5864786
1973,111.2462659,1097.627806,593.7684666,659.7309036,7478.957541,875.493335,1207.439818,574.1485751,224.95598,2563.177827,1688.714102,315.9133776,938.6771529,241.503242,4390.451397,1925.044169,748.6328691,989.4821964,1167.67629,2258.299137,1404.114783,338.3030263,3131.268345,1379.568786,1713.143962,656.3691301,216.4368754,1916.788334,180.6438876,521.0572922,277.5356916,2645.297676,337.0973374,235.1002166,6929.616133,3954.95699,842.9325188,784.2967453,4386.247436,351.3489601,931.3109424,190.5001183,1444.134281,4099.606914,403.5176035,1652.035827,154.7239195,1160.361969,1595.730948,543.2643357,125.2141867
1974,120.309159,1129.343073,613.2484599,700.1596403,7730.363905,920.8356319,1227.861128,575.7789735,228.864837,2688.820442,1744.049311,327.6827092,962.398178,253.2030698,4439.449528,1954.076533,772.6895698,1018.699093,1214.14936,2293.120078,1441.184837,345.5436666,3177.873309,1421.604824,1741.878465,679.3103756,224.2025901,1973.184709,188.2060972,535.0369757,288.0480143,2690.153867,352.2191588,250.7035768,6936.43397,4008.403917,876.7372972,812.7531654,4427.831968,356.0667511,964.0776235,196.3592409,1485.506967,4298.375015,420.8239388,1711.088287,159.6180854,1201.177587,1632.771415,554.1879721,133.6359371
1975,129.5735712,1160.89287,632.3594059,741.8859554,7994.245021,966.9008665,1249.400056,577.8267028,232.4757006,2815.392245,1799.827233,339.1037485,984.6863257,264.6760521,4484.580647,1980.392657,797.1406731,1046.386872,1261.935315,2330.885865,1476.654222,353.1712137,3220.573234,1463.574744,1770.452698,701.274665,231.9018184,2028.727679,195.92155,548.3424277,299.4515038,2735.20245,367.9291572,267.3069084,6943.783393,4055.691525,911.7696596,841.0918137,4464.848646,360.9053499,996.2804423,202.078728,1524.850695,4507.473563,438.558286,1769.580773,164.7470429,1245.431945,1669.103455,564.6096393,142.6384176
1976,138.6524472,1192.153718,651.1046834,785.3084036,8271.063741,1013.639223,1272.782444,580.4332895,236.0375081,2945.679016,1857.598794,350.1948079,1005.003926,275.6057982,4526.326038,2004.657795,821.4525667,1072.503467,1310.149177,2372.872728,1511.374983,361.2697923,3260.233077,1505.450688,1799.444986,722.2042695,239.3152525,2084.721414,203.5848439,560.8894051,311.9015166,2782.268093,384.0046363,284.8584343,6958.014652,4098.07347,947.6607646,868.998682,4498.588268,366.0705455,1028.180757,207.5573324,1562.674085,4725.341935,456.5526192,1828.310803,170.1600952,1292.703441,1704.711671,574.2437473,151.9439565
1977,147.2929957,1222.587211,669.197077,830.6116799,8558.157469,1060.715876,1298.355133,583.6809929,239.7344395,3082.294613,1917.974647,360.9991624,1022.703446,285.6321573,4564.09418,2026.710271,844.9482312,1096.756941,1357.474613,2419.413043,1546.092623,369.7748145,3295.975058,1546.894054,1828.664131,741.7527134,246.2035663,2141.363804,210.9813616,572.5572406,325.3368941,2832.404439,400.1226085,303.1523085,6983.856163,4135.78149,983.7500742,895.8188439,4529.554148,371.5430732,1059.575124,212.6900193,1598.863251,4948.988773,474.5633292,1887.673085,175.835075,1342.118157,1739.203632,582.7376095,161.2084982
